Num_Acc,road_type,road_surface,infrastructure,situation,speed_limit,road_profile,road_layout
202400000166,3,1,0,8,80,1,1
202400000167,4,2,0,8,30,2,1
202400000168,3,1,5,1,80,1,1
202400000169,3,1,0,1,80,1,1
202400000170,4,1,0,1,50,1,1
202400000171,3,1,0,1,110,1,2
202400000172,1,1,0,1,110,1,1
202400000173,1,1,0,1,110,1,1
202400000174,3,1,0,1,50,1,3
202400000175,1,1,0,1,90,1,2
202400000176,7,1,0,1,80,2,1
202400000177,1,1,1,1,90,1,1
202400000178,3,2,5,1,80,3,1
202400000179,1,2,0,1,110,1,1
202400000180,4,1,0,4,50,1,1
202400000181,4,1,0,8,-1,1,1
202400000182,2,1,0,1,50,1,1
202400000183,1,1,0,1,80,1,1
202400000184,2,1,0,1,70,1,1
202400000185,3,1,0,3,80,1,2
202400000186,3,1,0,1,50,1,2
202400000187,3,1,0,1,50,1,1
202400000188,3,1,0,1,80,3,3
202400000189,1,2,0,8,90,1,1
202400000190,3,1,0,4,50,1,1
202400000191,4,1,0,3,50,1,1
202400000192,3,1,0,1,90,2,3
202400000193,2,1,0,1,90,1,1
202400000194,4,1,0,1,50,2,1
202400000195,2,1,3,1,50,2,3
202400000196,3,1,0,1,80,1,1
202400000197,3,1,0,1,50,1,1
202400000198,3,1,0,3,80,1,2
202400000199,4,1,0,1,50,1,1
202400000200,4,1,0,3,50,1,1
202400000201,3,1,0,1,50,1,3
202400000202,4,1,6,6,15,1,1
202400000203,3,1,0,3,80,1,1
202400000204,1,1,5,1,50,2,1
202400000205,3,1,0,1,90,1,3
202400000206,3,1,0,3,80,1,2
202400000207,3,1,0,1,90,1,1
202400000208,3,1,0,1,70,4,1
202400000209,3,1,0,3,90,2,3
202400000210,3,1,0,1,80,1,3
202400000211,3,1,0,1,80,1,1
202400000212,3,1,0,3,80,1,1
202400000213,3,2,0,1,80,2,3
202400000214,3,1,0,1,90,1,1
202400000215,1,1,0,1,10,1,2
202400000216,3,1,0,3,80,1,1
202400000217,3,1,3,1,50,2,3
202400000218,4,1,0,1,50,1,1
202400000219,3,1,0,3,50,1,2
202400000220,3,2,0,1,50,1,1
202400000221,4,1,0,1,80,1,1
202400000222,3,1,0,1,80,1,2
202400000223,7,1,1,1,70,2,2
202400000224,1,1,0,1,90,1,1
202400000225,1,1,2,1,70,4,1
202400000226,1,2,0,1,110,1,1
202400000227,1,2,0,1,110,1,1
202400000228,1,2,0,1,110,1,1
202400000229,1,3,0,1,90,1,2
202400000230,4,1,-1,1,50,1,3
202400000231,4,1,5,1,30,1,1
202400000232,4,1,-1,1,50,1,1
202400000233,4,1,5,1,50,1,1
202400000234,4,1,5,1,50,1,1
202400000235,4,1,0,1,50,1,1
202400000236,4,1,0,1,30,1,1
202400000237,4,1,0,1,70,1,2
202400000238,2,1,2,1,50,1,1
202400000239,2,2,0,1,90,1,3
202400000240,3,1,0,8,50,1,1
202400000241,1,1,0,6,90,1,1
202400000242,2,1,0,1,50,2,2
202400000243,3,1,9,1,50,1,1
202400000244,4,2,9,1,30,1,1
202400000245,3,2,0,1,50,2,1
202400000246,4,1,0,1,50,1,1
202400000247,3,2,0,1,30,1,1
202400000248,3,1,3,1,45,2,2
202400000249,3,1,0,1,50,2,1
202400000250,3,1,0,1,50,1,1
202400000251,4,1,0,1,30,1,1
202400000252,4,1,0,1,50,1,1
202400000253,4,1,0,1,80,1,1
202400000254,3,1,0,1,80,1,1
202400000255,4,2,0,1,50,1,1
202400000256,3,1,0,1,80,1,1
202400000257,4,1,5,1,50,1,1
202400000258,4,1,0,1,50,1,1
202400000259,7,1,0,6,50,1,1
202400000260,4,2,0,1,50,1,1
202400000261,7,1,0,1,30,1,1
202400000262,4,1,0,1,50,1,2
202400000263,3,1,2,8,50,4,1
202400000264,4,1,0,1,50,4,2
202400000265,4,1,0,1,30,1,1
202400000266,4,1,0,1,30,1,1
202400000267,4,1,5,1,50,1,1
202400000268,7,2,0,1,70,1,1
202400000269,3,1,5,1,30,1,3
202400000270,3,1,0,1,30,1,1
202400000271,4,1,0,1,30,1,1
202400000272,7,1,0,1,50,1,1
202400000273,3,1,0,1,50,2,1
202400000274,4,1,0,1,50,1,1
202400000275,4,1,0,1,50,1,1
202400000276,4,1,0,1,30,1,1
202400000277,3,1,0,1,70,1,1
202400000278,4,1,0,1,50,1,1
202400000279,4,1,5,1,50,1,1
202400000280,4,1,0,1,50,3,1
